T,H,year,month,day,date
27.960000000000001,71.25,2006,4,8,2006-04-08
25.260000000000002,88,2006,4,9,2006-04-09
26.079999999999998,80.75,2006,4,10,2006-04-10
27.239999999999998,79.25,2006,4,11,2006-04-11
27,79.75,2006,4,12,2006-04-12
26.940000000000001,82.5,2006,4,13,2006-04-13
27.579999999999998,83,2006,4,14,2006-04-14
26.379999999999999,84.75,2006,4,15,2006-04-15
26.620000000000001,73.75,2006,4,16,2006-04-16
26.82,75.75,2006,4,17,2006-04-17
25.879999999999999,77.75,2006,4,18,2006-04-18
26.120000000000001,75,2006,4,19,2006-04-19
27.140000000000001,81.5,2006,4,20,2006-04-20
27.140000000000001,77.5,2006,4,21,2006-04-21
27.300000000000001,79,2006,4,22,2006-04-22
25.059999999999999,92.25,2006,4,23,2006-04-23
25.940000000000001,87.75,2006,4,24,2006-04-24
26.34,85,2006,4,25,2006-04-25
26.399999999999999,84,2006,4,26,2006-04-26
26.760000000000002,81.5,2006,4,27,2006-04-27
26.559999999999999,83.25,2006,4,28,2006-04-28
27.280000000000001,77.5,2006,4,29,2006-04-29
24.739999999999998,91,2006,4,30,2006-04-30
25.739999999999998,87.25,2006,5,1,2006-05-01
26.48,86.25,2006,5,2,2006-05-02
27.280000000000001,80,2006,5,3,2006-05-03
25.780000000000001,86.25,2006,5,4,2006-05-04
26.5,85.5,2006,5,5,2006-05-05
26.34,84,2006,5,6,2006-05-06
26.399999999999999,79.5,2006,5,7,2006-05-07
26.039999999999999,84.25,2006,5,8,2006-05-08
25.82,84.25,2006,5,9,2006-05-09
24.760000000000002,84.5,2006,5,10,2006-05-10
25.940000000000001,81.5,2006,5,11,2006-05-11
26.52,83.25,2006,5,12,2006-05-12
27.18,81,2006,5,13,2006-05-13
26.699999999999999,86,2006,5,14,2006-05-14
26.559999999999999,82.75,2006,5,15,2006-05-15
24.859999999999999,90,2006,5,16,2006-05-16
24.440000000000001,90.5,2006,5,17,2006-05-17
24.18,88.25,2006,5,18,2006-05-18
23.82,95.25,2006,5,19,2006-05-19
25.539999999999999,76.75,2006,5,20,2006-05-20
26.34,80.25,2006,5,21,2006-05-21
24.800000000000001,88.75,2006,5,22,2006-05-22
25.260000000000002,85.25,2006,5,23,2006-05-23
25.539999999999999,84.5,2006,5,24,2006-05-24
26.16,85,2006,5,25,2006-05-25
26.140000000000001,84.5,2006,5,26,2006-05-26
24.359999999999999,94.75,2006,5,27,2006-05-27
25.859999999999999,90.25,2006,5,28,2006-05-28
25.719999999999999,87,2006,5,29,2006-05-29
26.300000000000001,75.5,2006,5,30,2006-05-30
25.199999999999999,83.75,2006,5,31,2006-05-31
25.100000000000001,78.25,2006,6,1,2006-06-01
24.16,89.5,2006,6,2,2006-06-02
26.100000000000001,75,2006,6,3,2006-06-03
25.420000000000002,81.5,2006,6,4,2006-06-04
25.260000000000002,85.75,2006,6,5,2006-06-05
25.379999999999999,84,2006,6,6,2006-06-06
24.260000000000002,90.25,2006,6,7,2006-06-07
24.800000000000001,84.25,2006,6,8,2006-06-08
25.559999999999999,80.5,2006,6,9,2006-06-09
25.460000000000001,79,2006,6,10,2006-06-10
24.640000000000001,82.25,2006,6,11,2006-06-11
25.52,82.25,2006,6,12,2006-06-12
24.379999999999999,87.25,2006,6,13,2006-06-13
25.780000000000001,80,2006,6,14,2006-06-14
24.140000000000001,88.5,2006,6,15,2006-06-15
25.68,81.25,2006,6,16,2006-06-16
25.300000000000001,88.75,2006,6,17,2006-06-17
25.120000000000001,87.5,2006,6,18,2006-06-18
26.539999999999999,69,2006,6,19,2006-06-19
24.960000000000001,83.75,2006,6,20,2006-06-20
25.18,86.5,2006,6,21,2006-06-21
25.140000000000001,79,2006,6,22,2006-06-22
24.18,85.75,2006,6,23,2006-06-23
25.280000000000001,84.25,2006,6,24,2006-06-24
24.699999999999999,85,2006,6,25,2006-06-25
24.579999999999998,87.75,2006,6,26,2006-06-26
24.280000000000001,89.5,2006,6,27,2006-06-27
24.699999999999999,86,2006,6,28,2006-06-28
24.579999999999998,82.25,2006,6,29,2006-06-29
25.219999999999999,81.5,2006,6,30,2006-06-30
24.98,81.5,2006,7,1,2006-07-01
25.859999999999999,81,2006,7,2,2006-07-02
25.100000000000001,78.5,2006,7,3,2006-07-03
24.239999999999998,79.5,2006,7,4,2006-07-04
24.359999999999999,83.75,2006,7,5,2006-07-05
25.260000000000002,76,2006,7,6,2006-07-06
24.199999999999999,90.5,2006,7,7,2006-07-07
22.719999999999999,92.75,2006,7,8,2006-07-08
24.66,82.25,2006,7,9,2006-07-09
25.879999999999999,70.75,2006,7,10,2006-07-10
25.66,87,2006,7,11,2006-07-11
25.379999999999999,80.25,2006,7,12,2006-07-12
24.440000000000001,77.5,2006,7,13,2006-07-13
24.300000000000001,77.75,2006,7,14,2006-07-14
24.100000000000001,82.5,2006,7,15,2006-07-15
24.52,87.5,2006,7,16,2006-07-16
23.739999999999998,90.25,2006,7,17,2006-07-17
24.140000000000001,83.25,2006,7,18,2006-07-18
24.039999999999999,78.25,2006,7,19,2006-07-19
23.34,81.75,2006,7,20,2006-07-20
24,80.5,2006,7,21,2006-07-21
24.32,78.75,2006,7,22,2006-07-22
24.600000000000001,80.25,2006,7,23,2006-07-23
23.039999999999999,94.5,2006,7,24,2006-07-24
23.800000000000001,88.75,2006,7,25,2006-07-25
